58,98,58,99
87,3,88,3
51,28,52,28
6,1,6,2
54,20,55,20
37,99,38,99
42,68,43,68
30,75,31,75
18,52,19,52
55,43,55,44
57,74,57,75
50,17,51,17
47,99,48,99
65,22,65,23
21,55,21,56
64,85,65,85
73,63,73,64
11,87,11,88
57,60,58,60
35,87,36,87
3,66,3,67
43,60,43,61
31,36,32,36
28,52,28,53
55,51,55,52
13,74,14,74
22,23,23,23
4,43,4,44
79,34,80,34
62,64,63,64
89,92,90,92
10,3,10,4
69,98,69,99
81,47,82,47
37,96,38,96
58,4,58,5
8,62,9,62
1,19,1,20
95,50,96,50
31,76,31,77
40,85,40,86
27,56,27,57
5,98,6,98
14,22,14,23
65,79,66,79
83,34,84,34
80,3,80,4
56,51,57,51
5,13,5,14
50,85,51,85
9,25,10,25
35,67,35,68
58,11,58,12
77,80,77,81
22,10,22,11
2,73,2,74
12,55,13,55
47,25,47,26
61,91,61,92
58,57,58,58
43,56,43,57
19,78,20,78
23,95,24,95
31,82,32,82
74,31,74,32
49,11,50,11
42,17,43,17
29,95,29,96
94,23,94,24
31,54,31,55
89,5,89,6
79,16,79,17
85,96,86,96
64,64,64,65
44,49,44,50
56,48,57,48
54,49,54,50
68,26,69,26
93,29,93,30
17,2,18,2
38,5,39,5
67,40,68,40
16,92,16,93
84,60,84,61
94,81,94,82
88,74,89,74
14,53,15,53
12,72,13,72
9,18,10,18
18,30,19,30
28,52,29,52
70,29,70,30
48,79,48,80
17,74,17,75
31,73,32,73
87,46,88,46
68,76,68,77
52,8,53,8
87,23,88,23
55,53,56,53
1,91,2,91
36,72,36,73
12,51,12,52
63,1,63,2
93,7,93,8
30,84,31,84
65,55,65,56
50,43,51,43
74,19,74,20
64,96,64,97
87,54,87,55
89,93,89,94
72,81,72,82
64,20,65,20
25,27,25,28
49,64,50,64
50,63,50,64
64,18,64,19
75,98,75,99
78,19,79,19
73,36,73,37
71,50,72,50
94,49,94,50
51,79,52,79
20,48,21,48
93,8,94,8
14,69,15,69
36,73,36,74
21,26,22,26
21,71,22,71
58,75,59,75
33,80,33,81
48,67,49,67
89,84,90,84
18,18,18,19
74,95,74,96
55,23,55,24
25,63,26,63
38,46,39,46
1,34,1,35
