87,3,88,3
19,49,19,48
94,44,94,43
79,41,80,41
40,73,40,72
63,87,62,87
63,38,64,38
21,55,21,56
91,41,91,40
43,8,43,9
9,18,10,18
52,41,53,41
24,14,23,14
43,60,43,61
31,36,32,36
28,52,28,53
74,86,73,86
55,51,55,52
13,74,14,74
32,76,32,75
1,12,0,12
93,82,92,82
8,18,8,19
89,18,90,18
73,96,74,96
53,42,53,41
18,74,18,75
23,18,23,19
69,3,70,3
84,33,85,33
50,85,51,85
55,74,54,74
52,79,51,79
18,6,18,5
15,1,16,1
5,45,6,45
18,49,18,48
26,18,25,18
96,35,97,35
70,6,70,5
45,88,46,88
9,97,10,97
95,78,95,79
83,11,83,10
35,28,36,28
1,8,0,8
92,14,91,14
90,26,91,26
72,49,71,49
73,60,72,60
57,64,57,65
95,67,95,66
28,10,28,11
31,47,30,47
93,29,93,30
5,11,4,11
35,51,36,51
15,65,15,64
55,42,56,42
9,57,8,57
35,44,34,44
28,52,29,52
17,98,16,98
48,79,48,80
34,56,34,55
39,30,38,30
8,97,8,96
71,5,71,4
70,54,71,54
89,17,90,17
18,41,18,42
22,27,22,28
26,99,26,98
67,30,68,30
95,44,94,44
82,55,82,56
11,27,11,28
28,45,28,46
70,45,70,44
77,86,77,85
16,67,16,66
4,83,3,83
49,64,50,64
50,63,50,64
64,18,64,19
91,18,91,19
61,91,61,90
61,66,61,67
95,73,94,73
12,86,11,86
80,76,81,76
35,21,34,21
75,26,76,26
6,44,7,44
54,45,54,46
25,43,24,43
21,26,22,26
10,25,10,24
10,71,10,72
73,82,72,82
74,13,74,12
15,94,15,93
16,86,16,85
94,27,95,27
96,80,96,81
19,32,19,31
13,93,13,92
87,67,87,68
98,43,98,44
87,9,87,8
80,75,80,76
96,43,97,43
80,31,80,30
77,10,78,10
30,78,30,79
7,73,7,74
80,18,80,17
48,63,49,63
4,61,3,61
6,31,7,31
5,14,4,14
79,40,79,39
25,4,26,4
14,48,13,48
28,32,27,32
87,85,86,85
90,16,89,16
97,62,96,62
29,89,29,90
8,93,8,92
79,34,80,34
42,55,42,56
74,30,73,30
81,12,81,13
38,3,39,3
84,26,83,26
79,1,79,2
4,94,3,94
34,38,34,37
53,2,54,2
92,66,92,67
39,20,40,20
22,38,21,38
89,98,89,97
2,40,1,40
42,5,42,4
63,75,63,74
13,80,13,79
13,26,13,27
47,9,46,9
92,38,93,38
22,30,22,29
17,92,17,91
81,47,82,47
68,86,68,85
64,61,64,60
15,53,15,54
94,40,94,39
49,23,50,23
59,81,58,81
14,61,15,61
13,6,13,7
41,86,41,85
75,45,75,44
27,84,26,84
9,4,9,5
0,82,0,81
41,24,42,24
76,90,76,91
64,30,64,31
89,13,89,12
76,65,76,64
18,50,19,50
0,60,0,59
63,92,63,93
58,88,58,89
57,27,57,28
8,90,7,90
94,12,93,12
72,37,72,38
40,85,40,86
20,52,20,51
0,69,0,68
12,78,11,78
2,55,2,54
99,75,99,76
5,0,5,1
89,15,89,14
37,83,37,84
39,58,40,58
78,98,78,97
9,80,10,80
47,81,47,80
5,89,5,88
7,85,6,85
65,56,65,55
51,28,51,29
92,24,91,24
75,8,75,7
5,48,4,48
70,83,71,83
28,80,27,80
36,22,35,22
55,58,55,57
8,45,7,45
39,98,39,99
83,66,83,65
43,82,43,83
65,30,65,31
53,99,52,99
40,12,40,11
79,50,78,50
79,81,80,81
24,34,25,34
77,56,77,55
36,61,37,61
51,23,50,23
54,5,55,5
87,60,88,60
18,8,17,8
62,44,62,45
68,34,68,33
5,18,5,19
88,93,87,93
90,34,89,34
96,91,97,91
83,44,83,45
79,83,79,82
17,53,18,53
23,53,23,54
32,85,32,86
59,60,59,59
12,73,13,73
7,13,7,14
2,37,2,38
12,43,11,43
82,12,82,13
46,93,46,94
51,83,50,83
65,55,66,55
39,16,39,15
32,3,32,2
12,18,12,19
80,12,80,13
20,19,20,18
93,28,93,27
98,56,97,56
25,39,24,39
30,5,31,5
28,85,28,86
73,79,73,78
1,94,1,95
90,87,91,87
27,57,27,58
57,43,58,43
48,46,47,46
18,44,19,44
32,26,33,26
55,82,56,82
76,21,77,21
69,83,69,82
77,76,77,75
87,19,86,19
90,83,89,83
25,48,25,47
7,89,7,90
30,68,30,67
83,47,83,46
1,13,0,13
7,27,8,27
71,82,71,83
92,43,93,43
15,44,15,43
90,42,90,41
0,45,0,44
66,79,66,78
91,89,92,89
48,66,48,65
98,62,98,63
60,90,59,90
45,27,44,27
81,73,81,72
88,42,88,43
14,56,13,56
98,64,99,64
67,14,67,13
62,66,62,65
24,28,25,28
61,47,61,48
95,44,95,45
31,2,31,1
59,77,59,76
61,42,61,43
16,96,16,95
90,6,90,5
15,97,15,98
42,24,41,24
48,28,47,28
14,63,14,62
33,62,32,62
33,79,33,80
79,47,80,47
64,68,65,68
4,54,4,55
14,51,13,51
11,56,11,55
49,11,50,11
70,71,70,70
47,24,46,24
35,16,35,15
92,68,93,68
16,89,16,90
90,5,90,4
97,73,96,73
76,38,76,39
98,49,97,49
85,15,84,15
88,5,87,5
22,19,22,18
46,25,47,25
35,17,35,18
67,49,68,49
5,68,6,68
39,62,40,62
86,85,86,86
48,16,49,16
34,39,33,39
55,11,56,11
87,42,86,42
68,77,68,78
62,30,62,29
57,98,58,98
24,55,24,56
42,42,41,42
8,18,9,18
39,81,38,81
77,90,77,89
17,18,17,19
55,18,55,17
90,29,89,29
79,16,79,17
92,36,92,37
1,21,2,21
23,5,23,6
60,21,60,22
8,54,8,53
11,76,11,75
85,96,86,96
66,40,66,41
7,61,6,61
13,20,13,19
31,41,31,42
12,7,11,7
4,82,4,83
56,48,57,48
2,8,2,7
94,29,94,30
58,5,58,6
56,64,56,63
85,22,84,22
11,51,11,50
18,80,18,79
80,16,80,15
66,53,66,52
89,31,88,31
96,5,95,5
57,80,58,80
66,46,66,47
90,49,90,50
14,57,13,57
11,13,11,12
84,31,83,31
16,48,16,47
99,48,99,49
82,26,83,26
38,5,39,5
52,46,52,47
9,84,9,83
88,65,88,66
44,41,44,40
14,44,14,43
87,13,86,13
49,94,48,94
7,51,6,51
27,13,27,12
93,95,93,96
37,4,37,3
85,44,85,45
26,39,25,39
12,87,11,87
51,11,52,11
6,2,6,1
26,33,26,34
91,77,90,77
65,16,65,15
85,64,85,65
81,38,81,37
37,2,37,1
8,33,8,32
95,98,94,98
